product_code,description,prod_type,sale_price,inventory_count,is_active,availability_status,uom,access_rights,vendor_id,vendor_name
SKU001,Wireless Keyboard,ELEC,65.00,85,Y,avail,pc,R,SUP01,Tech Distributors
SKU002,Office Chair Pro,FURN,249.99,22,Y,avail,pc,R+W,SUP02,Furniture World
SKU003,Organic Green Tea,FOOD,12.99,150,Y,avail,bx,R+W+D,SUP03,Healthy Foods Co
SKU004,Notebook 200pg,STAT,4.50,600,Y,avail,pc,R,SUP04,Paper & Pens Ltd
SKU005,USB Hub 4-Port,ELEC,18.75,120,Y,avail,pc,R+W,SUP01,Tech Distributors
SKU006,Protein Bar Chocolate,FOOD,3.25,400,Y,avail,pc,R,SUP03,Healthy Foods Co
SKU007,Desk Organizer,STAT,15.50,95,N,disc,pc,R+W+D,SUP04,Paper & Pens Ltd
SKU008,Monitor Stand,FURN,45.00,55,Y,avail,pc,R+W,SUP02,Furniture World
SKU009,Ceramic Mug,KITCH,8.99,200,Y,avail,pc,R,SUP05,Home Essentials
SKU010,AA Batteries 4pk,ELEC,6.75,350,Y,avail,pk,R+W,SUP01,Tech Distributors
SKU011,Bookshelf 5-Tier,FURN,129.00,8,Y,low,pc,R+W+D,SUP02,Furniture World
SKU012,Sticky Notes Set,STAT,5.25,450,Y,avail,set,R,SUP04,Paper & Pens Ltd
SKU013,Instant Coffee 100g,FOOD,9.99,180,Y,avail,jar,R+W,SUP03,Healthy Foods Co
SKU014,Webcam HD,ELEC,89.00,45,Y,avail,pc,R+W+D,SUP01,Tech Distributors
SKU015,Executive Desk,FURN,399.00,12,Y,avail,pc,R+W,SUP02,Furniture World
SKU016,Highlighter 6-Pack,STAT,7.99,280,Y,avail,pk,R,SUP04,Paper & Pens Ltd
SKU017,Gaming Mouse RGB,ELEC,45.50,95,Y,avail,pc,R+W,SUP01,Tech Distributors
SKU018,Granola Bar Mixed,FOOD,2.75,520,Y,avail,pc,R,SUP03,Healthy Foods Co
SKU019,Coffee Maker 12-Cup,KITCH,79.99,35,Y,avail,pc,R+W+D,SUP05,Home Essentials
SKU020,Ethernet Cable 5m,ELEC,12.50,200,Y,avail,pc,R,SUP01,Tech Distributors
SKU021,Filing Cabinet 4-Drawer,FURN,189.00,18,Y,avail,pc,R+W+D,SUP02,Furniture World
SKU022,Paper Clips Box,STAT,3.99,800,Y,avail,bx,R,SUP04,Paper & Pens Ltd
SKU023,Almond Butter 500g,FOOD,15.75,110,Y,avail,jar,R+W,SUP03,Healthy Foods Co
SKU024,Mechanical Keyboard,ELEC,125.00,42,Y,avail,pc,R+W+D,SUP01,Tech Distributors
SKU025,Ergonomic Footrest,FURN,35.50,65,Y,avail,pc,R,SUP02,Furniture World
SKU026,Correction Tape,STAT,2.25,950,Y,avail,pc,R,SUP04,Paper & Pens Ltd
SKU027,Dark Chocolate Bar,FOOD,4.50,380,Y,avail,pc,R+W,SUP03,Healthy Foods Co
SKU028,Portable SSD 1TB,ELEC,159.99,28,Y,avail,pc,R+W+D,SUP01,Tech Distributors
SKU029,Conference Table,FURN,649.00,5,Y,low,pc,R+W+D,SUP02,Furniture World
SKU030,Binder Clips Assorted,STAT,6.50,420,Y,avail,set,R,SUP04,Paper & Pens Ltd
SKU031,Herbal Tea Variety,FOOD,18.99,140,Y,avail,bx,R+W,SUP03,Healthy Foods Co
SKU032,Wireless Mouse Pad,ELEC,22.00,175,Y,avail,pc,R,SUP01,Tech Distributors
SKU033,Standing Desk Converter,FURN,179.00,25,Y,avail,pc,R+W,SUP02,Furniture World
SKU034,Index Cards 500ct,STAT,8.75,320,Y,avail,pk,R,SUP04,Paper & Pens Ltd
SKU035,Trail Mix 300g,FOOD,7.25,265,Y,avail,pk,R+W+D,SUP03,Healthy Foods Co
SKU036,USB-C Adapter Hub,ELEC,34.99,88,Y,avail,pc,R+W,SUP01,Tech Distributors
SKU037,Task Chair Basic,FURN,89.00,48,N,disc,pc,R,SUP02,Furniture World
SKU038,Whiteboard Eraser,STAT,4.25,550,Y,avail,pc,R,SUP04,Paper & Pens Ltd
SKU039,Energy Drink 24pk,FOOD,29.99,75,Y,avail,pk,R+W,SUP03,Healthy Foods Co
SKU040,Laptop Cooling Pad,ELEC,28.50,92,Y,avail,pc,R+W+D,SUP01,Tech Distributors
SKU041,Storage Cabinet Metal,FURN,225.00,14,Y,avail,pc,R+W,SUP02,Furniture World
SKU042,Permanent Markers 12pk,STAT,11.99,410,Y,avail,pk,R,SUP04,Paper & Pens Ltd
SKU043,Coconut Water 1L,FOOD,5.50,190,Y,avail,btl,R+W,SUP03,Healthy Foods Co
SKU044,Bluetooth Headphones,ELEC,75.00,68,Y,avail,pc,R+W+D,SUP01,Tech Distributors
SKU045,Visitor Chair Set,FURN,159.00,20,Y,avail,set,R+W,SUP02,Furniture World
SKU046,Tape Dispenser Heavy,STAT,9.50,285,Y,avail,pc,R,SUP04,Paper & Pens Ltd
SKU047,Peanut Butter Organic,FOOD,12.25,155,Y,avail,jar,R+W+D,SUP03,Healthy Foods Co
SKU048,Graphics Tablet,ELEC,199.00,32,Y,avail,pc,R+W+D,SUP01,Tech Distributors
SKU049,Corner Desk L-Shape,FURN,349.00,9,Y,low,pc,R+W,SUP02,Furniture World
SKU050,Calculator Scientific,STAT,18.99,225,Y,avail,pc,R,SUP04,Paper & Pens Ltd
