prod_code,prod_description,category_code,price_per_unit,qty_in_stock,active_status,availability,measure_unit,storage_loc_id,storage_location
101,Gaming Headset,ACC,79.99,45,1,A,ea,WH01,Central Warehouse
102,Bluetooth Speaker,ACC,55.00,120,1,A,ea,WH01,Central Warehouse
103,Instant Noodles Pack,GRO,2.99,850,1,A,pk,WH02,Food Storage
104,Mineral Water 1.5L,BEV,1.25,600,1,A,btl,WH02,Food Storage
105,Ballpoint Pen Blue,OFF,0.85,1200,1,A,pc,WH03,Stationery Hub
106,Espresso Coffee 250g,GRO,14.50,200,1,A,pk,WH02,Food Storage
107,Laptop Stand,ACC,35.75,80,0,D,ea,WH01,Central Warehouse
108,Copy Paper 500 sheets,OFF,8.99,400,1,A,rm,WH03,Stationery Hub
109,Standing Desk,FUR,449.00,12,1,L,ea,WH04,Furniture Depot
110,Stapler Metal,OFF,12.50,300,1,A,pc,WH03,Stationery Hub
111,Wireless Charger,ACC,28.99,90,1,A,ea,WH01,Central Warehouse
112,Chocolate Bar 100g,GRO,3.75,500,1,A,bar,WH02,Food Storage
113,File Folder Set,OFF,6.25,180,1,A,set,WH03,Stationery Hub
114,Energy Drink 250ml,BEV,2.50,750,1,A,can,WH02,Food Storage
115,USB Hub 4-Port,ACC,22.50,150,1,A,ea,WH01,Central Warehouse
116,Granola Bar Pack,GRO,5.99,400,1,A,pk,WH02,Food Storage
117,Desk Lamp LED,ACC,42.00,65,1,A,ea,WH01,Central Warehouse
118,Orange Juice 1L,BEV,3.50,320,1,A,btl,WH02,Food Storage
119,Marker Set 12pcs,OFF,9.75,220,1,A,set,WH03,Stationery Hub
120,Office Chair Executive,FUR,299.00,18,1,A,ea,WH04,Furniture Depot
121,Phone Mount,ACC,15.99,200,1,A,ea,WH01,Central Warehouse
122,Potato Chips 150g,GRO,2.25,680,1,A,pk,WH02,Food Storage
123,Sticky Notes 3x3,OFF,3.50,550,1,A,pk,WH03,Stationery Hub
124,Iced Tea 500ml,BEV,1.75,890,1,A,btl,WH02,Food Storage
125,Webcam HD 1080p,ACC,68.00,55,1,A,ea,WH01,Central Warehouse
126,Pasta 500g,GRO,4.25,380,1,A,pk,WH02,Food Storage
127,Binder Clips Box,OFF,4.75,420,1,A,pc,WH03,Stationery Hub
128,Bookshelf 5-Tier,FUR,159.00,15,1,L,ea,WH04,Furniture Depot
129,Mouse Pad XXL,ACC,18.50,175,1,A,ea,WH01,Central Warehouse
130,Cereal Box 500g,GRO,6.50,290,1,A,pk,WH02,Food Storage
131,Highlighter Set,OFF,5.25,380,1,A,set,WH03,Stationery Hub
132,Sports Drink 600ml,BEV,2.99,520,1,A,btl,WH02,Food Storage
133,Cable Organizer,ACC,12.99,140,1,A,ea,WH01,Central Warehouse
134,Rice 2kg,GRO,8.75,250,1,A,pk,WH02,Food Storage
135,Correction Tape,OFF,2.50,460,1,A,pc,WH03,Stationery Hub
136,Filing Cabinet 3-Drawer,FUR,189.00,10,1,L,ea,WH04,Furniture Depot
137,Keyboard Wrist Rest,ACC,16.25,110,1,A,ea,WH01,Central Warehouse
138,Peanut Butter 500g,GRO,7.99,180,1,A,pk,WH02,Food Storage
139,Paper Clips Box,OFF,1.99,720,1,A,pc,WH03,Stationery Hub
140,Lemonade 1L,BEV,2.75,440,1,A,btl,WH02,Food Storage
141,Monitor Riser,ACC,32.50,75,1,A,ea,WH01,Central Warehouse
142,Cookies Pack 200g,GRO,4.50,410,1,A,pk,WH02,Food Storage
143,Envelope Pack 50pcs,OFF,5.75,290,1,A,set,WH03,Stationery Hub
144,Conference Table,FUR,599.00,6,0,D,ea,WH04,Furniture Depot
145,Laptop Cooling Fan,ACC,24.99,95,1,A,ea,WH01,Central Warehouse
146,Trail Mix 300g,GRO,6.25,340,1,A,pk,WH02,Food Storage
147,Calculator Desktop,OFF,18.50,160,1,A,pc,WH03,Stationery Hub
148,Coconut Water 330ml,BEV,1.99,610,1,A,can,WH02,Food Storage
149,Desk Organizer,FUR,38.00,28,1,A,ea,WH04,Furniture Depot
150,Screen Cleaning Kit,ACC,11.75,130,1,A,set,WH01,Central Warehouse
