sku,name,stock,price,store
SKU001,Wireless Mouse,150,25.99,Downtown Store
SKU003,Cotton T-Shirt,300,15.99,Northside Mall
SKU005,Running Shoes,120,89.99,Eastside Plaza
SKU007,Blender,80,75.50,Westend Center
SKU010,Floor Lamp,60,85.00,Central Branch
SKU013,Notebook Set,500,8.99,Northside Mall
SKU019,Hoodie,220,48.00,Northside Mall
SKU023,Basketball,110,35.00,Eastside Plaza
SKU028,Bedsheet Set,120,65.00,Central Branch
SKU033,Desk Organizer,180,15.50,Downtown Store
SKU036,Reading Glasses,95,55.00,Central Branch
SKU038,Smart Watch,50,285.00,Downtown Store
SKU041,Protein Powder,110,48.99,Eastside Plaza
SKU045,Face Cream,150,32.00,Westend Center
SKU049,Cookbook,120,22.00,Northside Mall
